suite,model,target,ablation_mode,case_id,status,elicitation_success,pareto_gain,hallucination_rate,turns,transcript_path,mae,topk_f1,boi,sum_var_start,sum_var_end,eudr_slope,eudr_ratio,pcg_first_hit_turn,pcg_final_coverage,pcg_hit_count,first_valid_probe_turn,valid_probe_hit_count,valid_probe_hit_rate,valid_probe_coverage,covered_valid_probe_dims,covered_valid_probe_keys,msti_mean,msti_max,msti_observed_count,ctr_opportunities,cardinal_trigger_count,cardinal_trigger_rate,accept_count,reject_count,rejection_turn,kbv_opportunities,kbv_violations,kbv_rate,final_weights_json,error_type,error,target_turn_count,echo_rate,probe_question_rate,pareto_diff_rate,uniform_weight_rate,constant_variance_rate,golden_first_mention_role,golden_first_mention_turn,golden_first_mention_school,target_supplied_golden_evidence,target_golden_evidence_count,golden_echo_target_count,acceptable_candidate_count,acceptable_candidate_hit,acceptable_candidate_hit_ids,acceptable_first_mention_role,acceptable_first_mention_turn,acceptable_first_mention_school,target_supplied_acceptable_evidence,target_acceptable_evidence_count,acceptable_echo_target_count,exact_golden_hit,constraint_count,diagnostic_axis,score_band,probe_gold_dims,weight_gold_dims,expected_msti
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-geo_tier,ok,True,1.0,0.0,3,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_micro-oracle-geo_tier.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,0.6666666666666666,geo,"major_geo_relax,region_tree_relax",0.60666667,0.60666667,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,贵州大学,True,1,0,5,True,admission:16076,target_agent,2,贵州大学,True,1,0,False,1,geo_tier,550-579,geo,school,0.60666667
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-major_tier,ok,True,140.0,0.0,3,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_micro-oracle-major_tier.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,0.3333333333333333,major,major_geo_relax,0.8375,0.8375,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,西藏大学,True,1,0,5,True,admission:16482,target_agent,2,西藏大学,True,1,0,False,1,major_tier,550-579,major,"school,quality",0.8375
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-tuition_value,ok,True,1.0,0.0,3,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_micro-oracle-tuition_value.json,0.124,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,1.0,tuition,tuition_value_relax,0.03,0.03,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,浙江中医药大学,True,1,0,5,True,admission:17898,target_agent,2,浙江中医药大学,True,1,0,True,1,tuition_value,550-579,tuition,"school,quality",0.03
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-risk_tier,ok,True,619.0,0.0,3,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_micro-oracle-risk_tier.json,0.15199999999999997,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,1.0,school,risk_band_relax,0.55,0.55,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,宁波大学,True,1,0,4,True,admission:186,target_agent,2,宁波大学,True,1,0,True,1,risk_tier,610-639,school,school,0.55
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-employment_outcome,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_micro-oracle-employment_outcome.json,0.08351175347793802,1.0,1.1550741902597201,5.0,1.25,1.875,0.75,1,1.0,2,1,2,0.6666666666666666,1.0,quality,employment_outcome_relax,1.0,1.0,2,3,2,0.6666666666666666,2,2,3,2,0,0.0,"{""school"": 0.12094813185507694, ""major"": 0.22593498812961427, ""tuition"": 0.12094813185507694, ""quality"": 0.41122061630515494, ""geo"": 0.12094813185507694}",,,3,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,4,False,,,,,False,0,0,False,1,employment_outcome,520-549,quality,quality,0.75
ablation,Pro/zai-org/GLM-5.1,app_pareto_full,full,micro-oracle-major_quality,ok,False,0.0,0.0,7,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_full\transcripts\app_pareto_full\transcript_micro-oracle-major_quality.json,0.10614557254105261,1.0,1.0000000000000009,5.0,3.0,1.0,0.4,1,1.0,3,1,3,1.0,1.0,quality,"major_quality_relax,strength_relax",1.0,1.0,2,3,1,0.3333333333333333,1,0,,0,0,0.0,"{""school"": 0.1484546437842105, ""major"": 0.27731803432368424, ""tuition"": 0.1484546437842105, ""quality"": 0.27731803432368424, ""geo"": 0.1484546437842105}",,,3,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,False,0,0,5,False,,,,,False,0,0,False,1,major_quality,520-549,quality,"quality,major",0.4825
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-major_tier,ok,True,140.0,0.0,3,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_micro-oracle-major_tier.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,0.3333333333333333,major,major_geo_relax,0.8375,0.8375,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,西藏大学,True,1,0,5,True,admission:16482,target_agent,2,西藏大学,True,1,0,False,1,major_tier,550-579,major,"school,quality",0.8375
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-geo_tier,ok,True,1.0,0.0,7,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_micro-oracle-geo_tier.json,0.14,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,3,1,3,1.0,0.6666666666666666,geo,"major_geo_relax,region_tree_relax",1.0,1.0,2,3,2,0.6666666666666666,2,2,5,1,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,3,0.0,1.0,0.6666666666666666,1.0,1.0,target_agent,2,贵州大学,True,1,0,5,True,admission:16076,target_agent,2,贵州大学,True,1,0,False,1,geo_tier,550-579,geo,school,0.60666667
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-tuition_value,ok,True,1.0,0.0,3,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_micro-oracle-tuition_value.json,0.124,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,1.0,tuition,tuition_value_relax,0.03,0.03,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,浙江中医药大学,True,1,0,5,True,admission:17898,target_agent,2,浙江中医药大学,True,1,0,True,1,tuition_value,550-579,tuition,"school,quality",0.03
ablation,Pro/zai-org/GLM-5.1,app_pareto_no_tracker,no_tracker,micro-oracle-risk_tier,ok,True,619.0,0.0,3,gaokaollm_bench\outputs\unified_micro_oracle_ablation_v3\Pro_zai-org_GLM-5.1\app_pareto_no_tracker\transcripts\app_pareto_no_tracker\transcript_micro-oracle-risk_tier.json,0.15199999999999997,0.0,0.0,5.0,5.0,0.0,0.0,1,1.0,1,1,1,1.0,1.0,school,risk_band_relax,0.55,0.55,0,1,1,1.0,1,0,,0,0,0.0,"{""school"": 0.2, ""major"": 0.2, ""tuition"": 0.2, ""quality"": 0.2, ""geo"": 0.2}",,,1,0.0,1.0,0.0,1.0,1.0,target_agent,2,宁波大学,True,1,0,4,True,admission:186,target_agent,2,宁波大学,True,1,0,True,1,risk_tier,610-639,school,school,0.55
